rgb_conv.0.weight	[8, 5, 1, 1]
rgb_conv.0.bias	[8]
rgb_conv.2.weight	[8]
rgb_conv.2.bias	[8]
rgb_conv.2._mean	[8]
rgb_conv.2._variance	[8]
rgb_conv.3.weight	[3, 8, 1, 1]
rgb_conv.3.bias	[3]
feature_extractor.backbone.conv1.conv.weight	[16, 3, 3, 3]
feature_extractor.backbone.conv1.bn.weight	[16]
feature_extractor.backbone.conv1.bn.bias	[16]
feature_extractor.backbone.conv1.bn._mean	[16]
feature_extractor.backbone.conv1.bn._variance	[16]
feature_extractor.backbone.conv2.expand_conv.conv.weight	[16, 16, 1, 1]
feature_extractor.backbone.conv2.expand_conv.bn.weight	[16]
feature_extractor.backbone.conv2.expand_conv.bn.bias	[16]
feature_extractor.backbone.conv2.expand_conv.bn._mean	[16]
feature_extractor.backbone.conv2.expand_conv.bn._variance	[16]
feature_extractor.backbone.conv2.bottleneck_conv.conv.weight	[16, 1, 3, 3]
feature_extractor.backbone.conv2.bottleneck_conv.bn.weight	[16]
feature_extractor.backbone.conv2.bottleneck_conv.bn.bias	[16]
feature_extractor.backbone.conv2.bottleneck_conv.bn._mean	[16]
feature_extractor.backbone.conv2.bottleneck_conv.bn._variance	[16]
feature_extractor.backbone.conv2.linear_conv.conv.weight	[16, 16, 1, 1]
feature_extractor.backbone.conv2.linear_conv.bn.weight	[16]
feature_extractor.backbone.conv2.linear_conv.bn.bias	[16]
feature_extractor.backbone.conv2.linear_conv.bn._mean	[16]
feature_extractor.backbone.conv2.linear_conv.bn._variance	[16]
feature_extractor.backbone.conv3.expand_conv.conv.weight	[64, 16, 1, 1]
feature_extractor.backbone.conv3.expand_conv.bn.weight	[64]
feature_extractor.backbone.conv3.expand_conv.bn.bias	[64]
feature_extractor.backbone.conv3.expand_conv.bn._mean	[64]
feature_extractor.backbone.conv3.expand_conv.bn._variance	[64]
feature_extractor.backbone.conv3.bottleneck_conv.conv.weight	[64, 1, 3, 3]
feature_extractor.backbone.conv3.bottleneck_conv.bn.weight	[64]
feature_extractor.backbone.conv3.bottleneck_conv.bn.bias	[64]
feature_extractor.backbone.conv3.bottleneck_conv.bn._mean	[64]
feature_extractor.backbone.conv3.bottleneck_conv.bn._variance	[64]
